,V1,V2,IngreNo,IngreSeason,IngreCal,IngreSubCatNo
193,鴨腳,8,EB0012,12,1.76059322,E
194,鴨腿,34,EB0013,12,1.76,E
195,鴨腿肉,5,EB0014,12,1.76,E
196,鴨心,2,EB0015,12,1.43,E
197,鴨肝,4,EB0016,12,1.388424242,E
198,鴨腸,11,EB0017,12,1.29,E
199,鴨胗,10,EB0018,12,1.119763863,E
200,鴨血,101,EB0019,12,0.6431129477,E
201,鴨油,2,EB0020,12,8.97,E
202,鴨骨,1,EB0021,12,0,E
203,田雞,28,EC0001,12,1.055555556,E
204,鴿肉,2,EC0002,12,2.935238095,E
205,鴕鳥肉,NA,EC0003,12,0.93,E
206,鴕鳥頸肉,1,EC0004,12,0.93,E
207,鴕鳥腩肉,1,EC0006,12,0.93,E
208,鹿肉,1,EC0007,12,1.233333333,E
209,螺肉,43,EC0008,12,1.076923077,E
210,田螺,11,EC0009,12,1.076923077,E
211,象牙鳳螺,10,EC0010,12,0.9547826087,E
212,蠑螺,4,EC0011,12,0.9795454545,E
213,香螺,1,EC0012,12,1.076923077,E
214,珠螺,1,EC0013,12,1.076923077,E
215,螺,5,EC0014,12,1,E
216,鮑片,2,EC0015,12,1,E
217,乾螺頭,1,EC0016,12,1,E
218,蛇肉,1,EC0017,12,0.85,E
219,鵪鶉,3,EC0018,12,1.365517241,E
220,麥皮蟲,1,EC0019,12,1.21,E
221,蟋蟀,1,EC0020,12,1.21,E
222,兔肉,1,EC0021,12,1.144821429,E
223,藤壺,1,EC0022,12,1.394702608,E
224,火雞肉,20,EC0023,12,2.96448052,E
225,鴕鳥腱肉,1,EC0024,12,0.93,E
226,魷魚,324,FA0001,5,1.823306122,F
227,魷魚乾,11,FA0002,12,1.823306122,F
228,魷魚嘴,11,FA0003,12,1.823306122,F
229,花枝,631,FA0004,8,1.597224305,F
230,透抽,522,FA0005,8,1.095890411,F
231,小卷,187,FA0006,12,0.7356071429,F
232,章魚,52,FA0007,12,0.7646560847,F
233,軟絲仔 ,NA,FA0008,12,0.7356071429,F
234,海參,57,FA0009,12,1.769004283,F
235,海蜇皮,22,FA0010,12,0.31,F
236,海蜇頭,2,FA0011,12,0.74,F
237,海膽,10,FA0012,12,1.481481482,F
238,墨魚汁,2,FA0013,12,0.52,F
239,蚌,1,FB0001,12,1.394702608,F
240,蚌殼,4,FB0002,12,0,F
241,蛤,1020,FB0003,12,1.394702608,F
242,蛤乾,1,FB0004,12,1.394702608,F
243,海瓜子,49,FB0005,12,0.490797546,F
244,九孔,91,FB0006,12,1.822262587,F
245,竹蟶,NA,FB0007,12,0.72,F
246,西施舌,1,FB0008,12,0.72,F
247,蘆筍貝,1,FB0009,12,0.72,F
248,蘭花蚌,5,FB0010,12,1.394702608,F
249,北極貝,1,FB0011,12,1.394702608,F
250,象拔蚌,NA,FB0012,12,1.394702608,F
251,鮑魚,55,FB0013,7,1.754416226,F
252,扇貝,36,FB0014,12,1.824,F
253,干貝,661,FB0015,12,1.644166667,F
254,蜆,47,FB0016,12,2.94,F
255,牡蠣,429,FB0017,2,3.243476136,F
256,榮螺肉,1,FB0018,12,1,F
257,蝦,1822,FC0001,12,1.258793178,F
258,車蝦,11,FC0002,12,0.86,F
259,蝦仁,1408,FC0003,12,0.8832590234,F
260,蝦仁乾,2,FC0004,12,0.8832590234,F
261,蝦丁,1,FC0005,12,0.8832590234,F
262,炸蝦,1,FC0006,12,2.24,F
263,蝦泥,22,FC0007,12,0.8832590234,F
264,蝦肉丁,2,FC0008,12,0.8832590234,F
265,白剌蝦,1,FC0009,12,1.258793178,F
266,櫻花蝦,174,FC0010,12,1.066666667,F
267,蝦母,1,FC0011,12,1.258793178,F
268,海蝦,24,FC0012,12,1.043006536,F
269,溪蝦,7,FC0013,12,1.258793178,F
270,蝦蛄,1,FC0014,12,0.9411764706,F
271,蝦米,914,FC0015,12,2.864708995,F
272,蝦籽,1,FC0016,12,1.258793178,F
273,蝦皮,146,FC0017,12,1.258793178,F
274,蝦醬,84,FC0018,12,0.99,F
275,蝦卵,36,FC0019,12,1.34,F
276,蝦漿,8,FC0021,12,0.8832590234,F
277,蝦丸,10,FC0022,12,1.630793651,F
278,蝦殼,10,FC0023,12,0.8832590234,F
279,蝦球,3,FC0024,12,1.3,F
280,蝦頭,10,FC0025,12,0.8832590234,F
281,蝦排,4,FC0026,12,2.17,F
282,熟蝦,7,FC0028,12,1.258793178,F
283,紅蟹,2,FC0029,12,0.7955813953,F
284,旭蟹,2,FC0030,12,0.78,F
285,海蟹,1,FC0031,12,1.182292605,F
286,螃蟹,105,FC0032,12,0.7955813953,F
287,蟹肉,123,FC0033,12,0.7483333333,F
288,蟹黃,26,FC0034,12,6.6,F
289,蟹腳,121,FC0035,12,0.7483333333,F
290,軟殼蟹,9,FC0036,12,0.7955813953,F
291,大閘蟹,12,FC0037,12,0.7955813953,F
292,毛蟹,2,FC0038,12,0.8163265306,F
293,帝王蟹,16,FC0039,12,0.7955813953,F
294,鱈場蟹,3,FC0040,12,0.7955813953,F
295,熟地蟹,NA,FC0041,12,0.7955813953,F
296,蟳,42,FC0042,12,1.43,F
297,膏蟹,5,FC0043,12,0.8,F
298,三點蟹,15,FC0044,12,0.7955813953,F
299,花蟹蚶,1,FC0045,12,0.7955813953,F
300,沙蟹,2,FC0046,12,0.7955813953,F
301,蟹鉗,2,FC0047,12,0.7955813953,F
302,蟹殼,1,FC0048,12,0.7955813953,F
303,金門蟹,1,FC0049,12,0.7955813953,F
304,鱉,4,FC0050,12,1.18,F
305,龍蝦,48,FC0051,12,1.132211825,F
306,魚肉,481,FD0001,12,1.009666667,F
307,鮭魚,534,FD0002,3,1.650119048,F
308,鯛魚,342,FD0003,12,1.308763736,F
309,鮪魚,485,FD0004,12,1.621851852,F
310,鱈魚,187,FD0005,12,0.889245614,F
311,鱸魚,143,FD0006,3,1.185353902,F
312,白魚,9,FD0007,12,1.009666667,F
313,黃魚,62,FD0008,8,1.052620321,F
314,小黃魚,4,FD0009,12,1.009666667,F
315,紅魚,9,FD0010,12,1.009666667,F
316,銀魚,9,FD0011,12,1.139186441,F
317,柴魚,136,FD0012,12,1.009666667,F
318,吳郭魚,47,FD0013,11,1.224655172,F
319,鯖魚,105,FD0014,12,1.858704284,F
320,虱目魚,126,FD0015,12,1.237486809,F
321,秋刀魚,46,FD0016,7,3.14,F
322,土魠魚,38,FD0017,3,0.28,F
323,白北魚,4,FD0018,12,1.009666667,F
324,香魚,44,FD0019,8,1.739130435,F
325,旗魚,60,FD0020,12,1.26984127,F
326,石斑魚,62,FD0021,12,1.208538012,F
327,鰻魚,101,FD0022,12,2.048333333,F
328,海鰻,5,FD0023,12,1.370223881,F
329,河鰻,1,FD0024,12,2.294047619,F
330,鯽魚,19,FD0025,12,1.174531646,F
331,草魚,47,FD0026,12,1.490172414,F
332,鯧魚,45,FD0027,4,0.8432051282,F
333,刺鯧,9,FD0028,5,1.068095238,F
334,鯉魚,12,FD0029,2,1.352691586,F
335,魴魚,23,FD0030,12,1.35,F
336,鰱魚,18,FD0031,12,1.14961267,F
337,帶魚,18,FD0032,12,1,F
338,吻仔魚,181,FD0033,12,1.009666667,F
339,丁香魚,65,FD0034,6,2.133372093,F
340,沙丁魚,5,FD0035,12,1.444836999,F
341,沙梭魚,1,FD0036,12,1.457222222,F
342,石狗公,1,FD0037,12,1.075,F
343,金線魚,3,FD0038,12,1.415714286,F
