食材名稱,同義詞
素什錦羹,素什錦羹
花椰菜,青椰菜
紅露酒,紅露酒
鴨骨,烤鴨骨架
素香鬆,素香鬆
摩卡冰砂粉,摩卡冰砂粉
丹蔘,紅參
馬茲拉起司,Mazurella cheese
蝦肉丁,蝦肉片
香料,香料粉
奶香湯頭,奶香湯頭
苜蓿芽,目蓿芽
麥麩,麥麩
楓糖,楓糖
梅醬,老梅
柳松菇,楊樹菇
羊大骨,羊大骨
豬肋排,豬小排
壽司,壽司
山葵,Wasabi
黑罌栗,黑罌栗
麻油,胡麻油
白蘿蔔,蘿蔔
蘿蔓萵苣,蘿蔓
起司,雙色起司
味噌,白味增
裝飾糖粒,彩色糖粒
胛心排,豬上排
紅葉萵苣,紫背天葵
小豆蔻,小荳蔻莢
核桃糕,南棗核桃糕
奧勒岡,奧肋岡葉
龍葵,黑田菜
鮭魚,鮭魚
義大利甜醋,頂級巴薩米可醋
茶末,茶末
雪菊,黃金雪菊
咖啡酒,卡魯哇
脆梅,漬梅
花椒,花 椒
梅醬,梅狀元老梅膏
舞菇,日本舞菇
方糖,方糖
白斬雞,白斬雞
三明治,三明治
起司粉,超司粉
豆腐乳,醬豆腐
鵝頭,鵝頭
巧克力,白巧力塊
熟地,熟地?
酸菜,酸採
黃芥末醬,黃芥末醬
黃金雪花片,黃金雪花片
辣椒醬,辣椒醬
柳橙,香橙
龍眼乾,龍眼肉
法式酸奶,法式酸奶
花生,花 生
蔬菜,時蔬
白扁豆,皇帝豆
馬茲拉起司,馬芝拉起司
榮螺肉,榮螺肉
醬油,壼底油精
白蘿蔔,菜頭
核桃,核 桃
奶油湯,奶油湯
當歸湯汁,當歸湯汁
豬五花肉,豬五花肉
火腿,大火腿
汽水,可口可樂
瓜子?,黑毛
亞麻籽油,亞麻籽油
陳皮,蜜橘皮
花豆,花仔豆
法國麵包,法國麵包
瑪斯卡彭起司,意大利Mascarpone cheese
酥皮,酥皮
蝦仁,大頭蝦仁
伍仔魚,四指馬?
山蘇菜,路姑
鳳梨,菠蘿
Uncle Ben's 方便飯,Uncle Ben's 方便飯
烤雞腿,家樂福熟食烤雞腿
魚柳,魚柳
味噌,細味磳
醬瓜,蔭瓜醬
奧勒岡,奧勒岡葉
紫色甘藍,球萵苣
濃湯塊,濃湯塊
牛肉片,肥牛片
混合菇,菇纇
蟹腳,蟹腿內
烏醋,烏酷
辣椒,paprika
雞醬,梅子雞醬
香樁,香樁頭
蝦母,東方異腕蝦
紹興酒,加飯酒
丹麥小西餅,綜合小西餅
五花豬肉片,豬五花薄片肉
可可粉,無糖可粉
竹輪,燒竹輪
海藻,紫晶藻
寒天春雨,寒天春雨
雞蛋,小蛋
碰皮麵,碰皮麵
薑,姜茸
桂花釀茶包,乾燥桂花
韓式風味蛋包,韓式風味蛋包
刺蔥粉,刺蔥葉
火龍果,火龍果
羊排,帶骨羊小排
壺底蔭醬,壺底蔭醬
綜合丸,酥炸海鮮丸
油蔥,手工油蔥
橄欖,黑橄欖片
三明治,廟口三明治
醬油,淬釀鏗魚
冬瓜,冬瓜片
蘇打水,蘇打水
鯷魚,油漬鯷魚
辣椒,紅辣椒絲
番茄,牛蕃茄
情人果,情人果
金銀花,冬忍
柚庵醬,柚庵醬
素耗油,素耗油
豬尾巴,豬尾
吉利丁　,吉力丁粉
油條,老油條
蚵仔白菜,蚵仔白菜
大心芥菜,大心菜
拌飯粉,黃色拌飯粉
咖啡酒,咖啡酒
