,RcpNo,Rcp_ingreCal,RcpName
323,I00324,622.30757522,菠菜南瓜湯
324,I00325,510.793200608,檸檬義式無水海鮮煮
325,I00326,558.980710337,法式奶油蘆筍鱈魚排
326,I00327,2579.50625,自製港式脆皮燒肉
327,I00328,1426.93794104,豬肉蔥捲
328,I00329,195.091593289,宮保雞丁
329,I00330,795.748059422,鮮蝦干貝燉飯
330,I00331,289.070448626,冰魚菲力沙拉
331,I00332,839.763950188,海鮮芙蓉蒸蛋
332,I00333,521.864783073,鹹鹹香香烏魚子炒飯
333,I00334,2182.36308581,海味滿滿滿的義式海鮮燉飯
334,I00335,351.128071182,醬烤軟絲
335,I00336,655.078082222,香煎蒜味豬排菜飯
336,I00337,75.20810606,玉米筍炒荷蘭豆
337,I00338,741.55899115,一人開飯親子丼
338,I00339,1549.36095161,照燒汁豬肉漢堡
339,I00340,4871.7768478,紅鮭銀絲沙拉-灰犬白蘇維濃白酒
340,I00341,146.940824224,泰式綠咖哩
341,I00342,224.083078625,韓式春川炒辣雞
342,I00343,189.407774686,青蔥金磚豆腐燒
343,I00344,2438.15178023,雞祥如意迎新春
344,I00345,217.327013269,回鍋肉
345,I00346,915.606608167,花椰菜干炒五花
346,I00347,1116.39590281,快速三杯豬肉杏鮑菇
347,I00348,859.429727536,三杯曼波魚
348,I00349,1305.56702878,三杯雞約克郡布丁
349,I00350,5264.13138963,鹽烤香魚
350,I00351,594.542623106,香辣打拋豬肉豆腐
351,I00352,620.66552638,梅汁蘿蔔
352,I00353,277.400149423,乾煎鮭魚佐塔香番茄洋蔥
353,I00354,1591.64163235,起司蝦仁可樂餅
354,I00355,1138.15083487,茄汁蝦仁鍋粑
355,I00356,0.0,低卡清爽蔬果拼盤
356,I00357,1988.56377111,手風琴馬鈴薯-迷你版
357,I00358,68.7010376972,三杯茄子
358,I00359,0.0,雞肉捲
359,I00360,176.992305875,蔥燒鯛魚片
360,I00361,86.993955906,法式蘑菇紅酒燉牛肉
361,I00362,718.031126922,免油味噌雞
362,I00363,2209.11456595,美式薯寶燉鍋
363,I00364,1940.85110412,醬油滷肉地瓜
364,I00365,1649.25836888,芋頭粥
365,I00366,1421.55358345,韓式椒醬雞
366,I00367,1383.95767097,草莓蛋糕
367,I00368,1248.58258258,瓜仔排骨湯
368,I00369,212.649706788,涼拌皮蛋豆腐
369,I00370,6531.04971785,麻油雞
370,I00371,12991.1339028,高麗菜豬肉水餃
371,I00372,670.645125387,洋蔥豬肉飯
372,I00373,92.7,燙青菜
373,I00374,4962.41184607,北海道起司鍋義大利麵
374,I00375,88.4179974706,香煎豆干
375,I00376,1162.45600387,春日草莓泡芙
376,I00377,573.892090053,砂鍋油豆腐雞
377,I00378,1336.26312623,《電鍋版》鮭魚馬鈴薯沙拉
56289,I00379,400,奶酥蘋果派
378,I00380,11462.5683698,茄汁秋刀魚
379,I00381,1191.86230972,山藥雞湯
380,I00382,979.038916767,梅菜扣豆腐
381,I00383,603.697443648,豆腐乳鹹酥雞
382,I00384,264.296920296,麻辣涼拌大頭菜
383,I00385,519.36231341,蔥爆劍蝦
384,I00386,781.531992126,麻油松阪豬
385,I00387,968.65512888,涼拌鴨賞
386,I00388,1157.16653209,香蕉綠咖哩雞
387,I00389,0.0,七味粉炒豆干
388,I00390,1713.04020635,藜麥雞胸肉沙拉
389,I00391,0.0,烤紅燒肉魚
390,I00392,1373.81966539,豬排法國吐司
391,I00393,586.032429859,古早味豆腐
