V1,V2.x,V2.y
V1,V2,V2
FD0072,金眼鯛,1.17647058824
FD0073,花魚,NA
FD0074,燕尾斑,NA
FD0075,青鱗魚,1.18
FD0076,燕魚,NA
FD0077,竹筴魚,NA
FD0079,殼魚,NA
FD0080,黃雞魚,NA
FD0081,青衣魚,NA
FD0082,飛刀,NA
FD0083,伍仔魚,NA
FD0084,鯪魚,2.79962962963
FD0085,金梭魚,NA
FD0086,鬼頭刀,NA
FD0087,紅槽魚,NA
FD0088,豆仔魚,NA
FD0089,鱒鮭,NA
FD0090,寶石魚,NA
FD0091,龍利魚,NA
FD0092,脆皖魚,NA
FD0093,海泥鰍,NA
FD0094,泥鰍,1.09978021978025
FD0095,劍旗魚,NA
FD0096,紅條魚,NA
FD0097,三角仔,NA
FD0098,蘭勃舵魚,NA
FD0099,青嘴魚,NA
FD0100,青星九刺鮨,NA
FD0101,鰈魚,1.04
FD0102,海鱺,NA
FD0103,甘仔魚,NA
FD0104,飛魚,0.963855421687
FD0105,青魚,1.3453174603175
FD0106,紅目鰱,2.58064516129
FD0107,鯰魚,1.26445054945
FE0001,魚肚,NA
FE0002,魚腸,NA
FE0003,魚頭,NA
FE0004,魚骨,NA
FE0005,魚下巴,NA
FE0006,魚尾巴,NA
FE0007,魚皮,NA
FE0008,明太子,NA
FE0009,魚卵,1.735
FE0010,鮭魚卵,NA
FE0011,生魚片,NA
FE0012,魚湯,1.20888888889
FE0013,魚菲力,NA
FE0014,松阪魚,NA
FE0015,魚柳,2.32
FE0016,魚雜,NA
FE0017,龍腸,NA
FF0001,魚板,0.9115217391305
FF0002,魚露,0.48
FF0003,魚漿,NA
FF0004,章魚花枝漿,NA
FF0005,甜不辣,14.7873809523817
FF0006,小魚乾,4.425
FF0007,魚丸,9.88722222222233
FF0008,鹹魚,NA
FF0009,魚鬆,3
FF0010,魚餃,27.7525
FF0011,魚蛋,0.76
FF0012,一夜干,NA
FF0013,魚乾,NA
FF0014,蟹肉棒,1.141666666665
FF0015,竹輪,1.36
FF0016,黑輪,1.74545454545
FF0017,鳴戶卷,NA
FF0018,沙魚煙,NA
FF0019,柴魚粉,3.67818181818
FF0020,魚高湯,0.539419087137
FF0021,烏魚子,3.630263157895
FF0022,鱈寶,NA
FF0023,魚翅,9.125
FF0024,魚餅,NA
FF0025,魚酥,5.8
FF0026,醃魚,NA
FF0027,魚油,NA
FF0028,魚粉,2.28
FF0029,魷魚絲,3.1904885057475
FF0030,魚唇,NA
FF0031,魚滑,NA
FF0032,魚醬,NA
GA0001,小黃瓜,1.53667698303625
GA0002,黃瓜,0.146168179646385
GA0003,黃瓜皮,NA
GA0004,絲瓜,0.256594331872938
GA0005,稜角絲瓜,0.18
GA0006,冬瓜,NA
GA0007,冬瓜皮,NA
GA0009,苦瓜,0.596558749630583
GA0010,南瓜,NA
GA0012,日本南瓜,0.35
GA0013,菊花南瓜,NA
GA0014,西葫蘆,0.212285958904125
GA0015,葫蘆,0.186819923371667
GA0016,瓠瓜,0.182777777777833
GA0017,節瓜,0.132
GA0018,越瓜,0.18
GA0019,筍瓜,0.32
GA0020,佛手瓜,0.20375
GA0021,酪梨,1.64497354497333
GA0022,蛇瓜,0.163333333333333
GA0023,青木瓜,NA
GA0024,碟瓜,0.13
GA0025,番茄,0.765686918445414
GA0026,秋葵,NA
GA0027,茄子,0.548827694181778
GA0028,水茄,NA
GA0029,泰式小圓茄,NA
GA0030,人參果,0.646424751718857
GA0031,番椒,NA
GA0032,青龍辣椒,NA
GA0034,甜椒,0.848159845924333
GA0035,角椒,NA
GA0036,米椒,NA
GA0037,翡翠椒,NA
GB0001,水果,NA
GB0002,芒果,1.08796312815937
GB0003,芭樂,2.22983540590013
GB0004,梨子,0.973361327316567
GB0005,紅梨,NA
GB0006,鴨梨,0.4622086720865
GB0007,柿子,0.718449464177625
GB0008,柚子,0.397497528039111
GB0009,香柚皮,NA
GB0010,葡萄,1.36852362292557
GB0011,無子葡萄,NA
GB0012,葡萄柚,1.43733729527838
GB0013,香蕉,2.34870802959243
GB0014,西瓜,5.18737596362475
GB0015,木瓜,1.34066939520433
GB0016,香瓜,0.318466897129625
GB0017,哈密瓜,0.923948153475867
GB0018,桃子,1.67250604706058
GB0019,甜桃,NA
GB0020,脆桃,NA
GB0021,黃桃,0.555
GB0022,李子,0.962189775371143
GB0023,加州李,5.5345512820595
GB0024,小番茄,1.34293209876542
GB0025,蘋果,1.29420925228619
GB0026,青蘋果,0.485808080808
GB0027,蓮霧,1.42278317856645
GB0028,柳橙,1.64798603877718
GB0029,橙橘,NA
GB0030,橘子,0.8230467883475
GB0031,鳳梨,0.520533135100636
GB0032,釋迦,3.14506715507078
GB0033,荔枝,1.76032589661962
GB0034,龍眼,1.62
GB0035,棗子,3.03976587212715
